DATE,DB,WB,Hour,Minute,Day,Weekend,Utility Subtotal,Scored Labels
1/15/2017 3:00:00 AM,32,30,3,180,1,1,250.5,245.58561706543
7/25/2017 1:00:00 PM,69,63,13,780,3,0,679.5,670.554931640625
10/12/2017 3:00:00 PM,63,54,15,900,5,0,484,462.841583251953
5/31/2017 8:00:00 PM,68,64,20,1200,4,0,434.2000122,390.900421142578
5/11/2017 3:00:00 AM,46,42,3,180,5,0,441.9606934,464.279296875
3/22/2017 2:00:00 AM,48,37,2,120,4,0,423.0249939,415.36767578125
9/18/2017 3:00:00 PM,73,69,15,900,2,0,517.6355591,502.351318359375
9/13/2017 7:00:00 PM,72,69,19,1140,4,0,528.2999878,547.0068359375
7/30/2017 10:00:00 PM,72,62,22,1320,1,1,633.2000122,615.539794921875
9/10/2017 11:00:00 AM,69,58,11,660,1,1,411.2000122,376.625518798828
7/12/2017 1:00:00 AM,79,74,1,60,4,0,748.7999878,731.470336914063
6/21/2017 5:00:00 PM,82,67,17,1020,4,0,475.5,492.4208984375
6/11/2017 2:00:00 AM,74,65,2,120,1,1,459.8861084,470.986999511719
4/12/2017 11:00:00 AM,63,60,11,660,4,0,468.7000122,432.60791015625
6/26/2017 10:00:00 PM,73,58,22,1320,2,0,433.7000122,472.225708007813
4/29/2017 4:00:00 PM,82,67,16,960,7,1,557,506.313720703125
1/5/2017 4:00:00 PM,32,25,16,960,5,0,305.1666565,309.848876953125
10/10/2017 2:00:00 AM,71,66,2,120,3,0,447.1000061,474.405212402344
4/22/2017 6:00:00 AM,52,50,6,360,7,1,277.2999878,319.667236328125
11/4/2017 10:00:00 AM,52,44,10,600,7,1,322.7000122,325.196899414063
1/4/2017 5:00:00 AM,43,41,5,300,4,0,421.8250122,421.967346191406
7/31/2017 8:00:00 AM,71,63,8,480,2,0,634,635.232238769531
8/30/2017 4:00:00 PM,76,63,16,960,4,0,678.0999756,687.632629394531
10/6/2017 2:00:00 PM,81,66,14,840,6,0,525.0999756,520.84814453125
6/23/2017 3:00:00 PM,80,74,15,900,6,0,505.7000122,515.940979003906
3/4/2017 6:00:00 AM,21,17,6,360,7,1,269.7749939,271.894226074219
6/25/2017 4:00:00 AM,70,63,4,240,1,1,339.5,349.493286132813
12/3/2017 12:00:00 AM,44,40,0,0,1,1,313.4698792,298.56591796875
1/19/2017 12:00:00 AM,40,38,0,0,5,0,290.6000061,284.487945556641
4/3/2017 7:00:00 AM,52,43,7,420,2,0,460.7749939,502.344665527344
