time,roof mechanical,DB,WB,Scored Labels
6/3/2016 8:19:00 AM,-86.75,64,62,-97.2700805664063
8/22/2016 1:51:00 PM,-89.25,77,63,-69.9852676391602
12/19/2016 11:51:00 AM,0,27,21,-1.39143931865692
9/23/2016 12:51:00 PM,-96.7,86,65,-99.2811584472656
9/26/2016 4:51:00 PM,-105.4,67,57,-111.532684326172
3/24/2016 6:51:00 PM,77.2,46,43,78.4275970458984
5/20/2016 1:51:00 PM,74.85,75,56,54.5119209289551
5/5/2016 8:51:00 AM,-122.3,50,46,-139.256271362305
1/31/2016 2:51:00 AM,160.9,37,32,170.601928710938
9/27/2016 2:51:00 AM,-112.9,66,65,-109.697677612305
9/7/2016 6:42:00 AM,-63.9,73,69,-60.5225410461426
6/13/2016 3:51:00 PM,-170.95,71,58,-168.835464477539
10/17/2016 11:51:00 AM,0,79,67,0.337042391300201
11/21/2016 2:51:00 PM,0,40,32,2.05222916603088
11/29/2016 2:51:00 AM,0,52,48,3.38269758224487
2/8/2016 6:51:00 PM,230.55,31,28,193.037185668945
3/27/2016 1:51:00 AM,88.85,43,40,80.8618469238281
7/25/2016 7:51:00 PM,-104.25,74,73,-113.340919494629
12/2/2016 9:51:00 AM,0,44,38,0.940869331359863
4/26/2016 9:14:00 AM,64.25,56,53,49.4687271118164
7/12/2016 4:51:00 PM,-122.9,78,69,-123.614158630371
6/27/2016 11:51:00 AM,-151.45,82,69,-120.848297119141
7/1/2016 9:09:00 PM,-141.05,68,67,-154.072769165039
6/9/2016 3:51:00 PM,-122.4,71,53,-118.319389343262
12/1/2016 5:51:00 AM,0,51,49,1.09745788574219
7/2/2016 6:51:00 AM,-170.55,66,61,-155.631317138672
6/9/2016 12:51:00 PM,-122.4,67,52,-115.269416809082
6/28/2016 11:51:00 AM,-143.5,71,69,-127.404846191406
5/28/2016 10:51:00 AM,70,87,73,62.8354454040527
6/10/2016 11:51:00 PM,-73.4,63,52,-73.5947952270508
8/7/2016 10:51:00 AM,68,84,68,93.0982666015625
3/3/2016 7:51:00 PM,50.2,35,27,64.6621017456055
2/23/2016 9:49:00 PM,-137.75,36,34,-129.88117980957
9/30/2016 4:51:00 PM,-56.4,58,57,-55.6700668334961
11/5/2016 4:51:00 AM,0,45,39,0.309612184762955
5/22/2016 10:51:00 AM,-80.4,66,55,-38.3266677856445
5/1/2016 10:51:00 PM,-111.5,46,45,-105.910079956055
8/29/2016 1:51:00 AM,-100.45,75,67,-144.551574707031
9/11/2016 11:51:00 PM,69.05,68,56,47.9367599487305
12/18/2016 7:51:00 PM,0,37,30,12.8140592575073
4/28/2016 2:51:00 AM,-90.15,51,43,-116.207366943359
10/2/2016 11:51:00 PM,0,63,61,0.369915068149567
2/25/2016 6:51:00 PM,-136.25,40,36,-132.091278076172
1/21/2016 9:51:00 AM,225.05,30,24,188.023941040039
11/29/2016 2:59:00 PM,0,57,56,0.0835090279579163
10/22/2016 11:51:00 AM,0,47,44,-0.145477861166
2/3/2016 1:51:00 AM,192.3,44,39,179.668182373047
2/17/2016 1:51:00 PM,-143.75,39,33,-108.640808105469
2/3/2016 9:51:00 PM,215.5,57,54,221.284255981445
5/18/2016 5:51:00 PM,-124.7,58,48,-103.064331054688
10/23/2016 11:51:00 AM,0,58,48,0.105294041335583
3/11/2016 9:51:00 PM,76.35,51,42,78.8272476196289
5/30/2016 4:16:00 AM,75.5,70,69,74.7200927734375
8/13/2016 5:51:00 PM,119.2,92,80,118.113777160645
2/20/2016 4:51:00 PM,-132.15,60,47,-141.077407836914
3/13/2016 1:51:00 PM,76.15,61,46,78.1892471313477
3/28/2016 3:51:00 PM,76,60,51,78.8416519165039
6/21/2016 12:51:00 AM,-170.5,78,65,-191.800537109375
1/20/2016 5:51:00 PM,226.5,34,28,202.622467041016
12/2/2016 4:51:00 PM,0,49,40,-0.257109940052032
2/5/2016 8:51:00 AM,208.1,31,30,219.592529296875
6/12/2016 4:14:00 AM,-56.75,78,69,-56.4769248962402
8/16/2016 10:51:00 PM,113.65,83,78,110.573066711426
1/1/2016 3:51:00 AM,-27.2,41,35,-28.6817207336426
2/26/2016 12:51:00 PM,-148.9,35,27,-110.41236114502
3/4/2016 7:48:00 AM,68.1,30,28,66.7428817749023
9/14/2016 4:38:00 PM,-71.35,72,70,-69.6692504882813
9/21/2016 12:51:00 AM,-65.25,72,69,-55.2639350891113
5/1/2016 5:51:00 AM,-67.15,50,44,-103.116622924805
5/22/2016 11:51:00 AM,-80.4,68,56,-105.562591552734
3/23/2016 3:51:00 AM,-58.9,50,42,-60.2940368652344
2/17/2016 3:47:00 AM,-79.9,37,33,-75.1894073486328
5/26/2016 11:51:00 PM,-172.4,76,62,-160.9658203125
6/16/2016 2:51:00 AM,-157.05,69,65,-139.758178710938
3/4/2016 3:51:00 AM,59.9,31,29,62.4284133911133
3/12/2016 11:51:00 AM,92.55,56,44,88.5642166137695
1/4/2016 12:51:00 PM,210.15,30,23,185.884963989258
3/24/2016 5:51:00 PM,77.65,47,43,87.1786804199219
1/12/2016 7:51:00 AM,196.5,28,23,229.759216308594
12/21/2016 2:51:00 AM,0,30,25,4.50018262863159
7/7/2016 11:51:00 PM,-151,78,73,-107.33211517334
5/9/2016 3:51:00 PM,-141.2,71,53,-42.8691139221191
7/18/2016 9:51:00 AM,-120.7,86,74,-19.1674194335938
3/7/2016 6:51:00 PM,77.75,59,47,74.2945556640625
2/7/2016 3:51:00 PM,209.2,45,36,203.484283447266
10/1/2016 12:39:00 AM,0,56,54,-2.72513747215271
8/30/2016 8:51:00 AM,-102.8,76,66,-63.9407958984375
7/18/2016 4:08:00 PM,-127.7,74,72,-93.6727752685547
11/30/2016 11:49:00 AM,0,55,54,-1.54743313789368
12/19/2016 10:51:00 AM,0,26,21,2.0865159034729
9/30/2016 8:51:00 PM,0,56,55,-0.93810498714447
3/28/2016 12:51:00 AM,74.1,45,40,76.9921951293945
3/28/2016 2:51:00 AM,67.3,42,40,70.8665008544922
5/22/2016 8:51:00 AM,-80.4,59,53,-71.8895874023438
10/28/2016 5:51:00 AM,0,45,43,0.336861729621887
12/10/2016 8:51:00 PM,86.15,32,28,88.2656478881836
9/9/2016 8:51:00 PM,-53.05,84,74,-44.6721153259277
11/13/2016 11:51:00 PM,0,51,40,0.206491142511368
6/16/2016 1:51:00 AM,-150.05,73,65,-159.727386474609
11/19/2016 9:43:00 PM,0,51,49,0.212701171636581
3/5/2016 2:51:00 AM,60.05,31,26,55.5649261474609
3/20/2016 8:17:00 PM,55.05,34,31,51.2415351867676
5/29/2016 12:51:00 PM,74.55,85,70,106.191223144531
12/20/2016 8:51:00 PM,0,32,26,1.34114646911621
12/6/2016 3:51:00 AM,70.55,40,35,63.0688133239746
7/11/2016 2:51:00 PM,-140,79,67,-103.886512756348
5/31/2016 8:51:00 PM,-92.45,74,67,-66.2485122680664
1/11/2016 8:51:00 AM,188.05,30,24,183.611038208008
10/18/2016 12:51:00 PM,0,81,69,-3.24781012535095
10/29/2016 8:51:00 AM,0,48,41,2.82419085502625
12/27/2016 2:51:00 PM,0,60,49,-7.66740989685059
11/8/2016 4:51:00 AM,0,43,38,1.04193890094757
7/31/2016 12:10:00 AM,-83,74,73,-84.8043441772461
4/7/2016 11:51:00 AM,-141.45,55,52,-156.988418579102
1/17/2016 3:51:00 AM,208.3,39,33,185.331832885742
11/9/2016 9:51:00 AM,0,55,50,-2.1960506439209
3/20/2016 3:51:00 PM,53.25,39,33,66.7307052612305
7/16/2016 12:51:00 AM,-60,80,71,-42.4466171264648
12/29/2016 12:26:00 PM,0,44,43,0.719552397727966
8/21/2016 5:51:00 AM,-85.3,76,71,-52.1127586364746
2/3/2016 6:51:00 AM,167.15,48,44,181.814468383789
6/23/2016 1:51:00 AM,53.9,71,60,5.8997220993042
2/19/2016 12:51:00 PM,-151.3,36,28,-126.093566894531
12/4/2016 7:51:00 PM,0,42,35,0.188821002840996
9/29/2016 4:51:00 AM,-67.55,61,57,-61.6061706542969
5/1/2016 9:51:00 AM,-88.2,48,46,-125.703010559082
2/20/2016 4:51:00 AM,26.65,43,37,30.5872573852539
9/18/2016 12:51:00 AM,-98.9,70,65,-102.732452392578
7/24/2016 12:51:00 PM,-78.9,92,71,-82.4992599487305
2/11/2016 9:51:00 AM,-146.4,24,18,-123.676979064941
3/2/2016 3:17:00 AM,65.75,50,48,66.1733627319336
7/15/2016 11:51:00 PM,-71.5,82,72,-42.1800231933594
2/18/2016 10:51:00 AM,-157.2,30,24,-92.2320404052734
8/15/2016 1:51:00 AM,119.9,78,73,126.804710388184
7/22/2016 10:51:00 PM,-87.15,85,74,-42.9849395751953
8/4/2016 1:51:00 PM,75.75,80,68,96.1696166992188
2/14/2016 12:51:00 PM,-101.2,11,7,-91.8591766357422
11/26/2016 5:51:00 PM,0,45,40,-0.145490556955338
8/1/2016 4:28:00 PM,107.05,78,71,112.67073059082
2/11/2016 2:44:00 AM,-83.25,26,23,-98.5526885986328
5/8/2016 12:51:00 PM,-94.9,65,50,-116.947166442871
9/1/2016 9:51:00 PM,-67.05,72,66,-69.6491851806641
6/20/2016 11:51:00 AM,-155,81,70,-169.711639404297
11/6/2016 2:51:00 AM,0,55,49,0.0818846225738525
8/6/2016 11:51:00 PM,102.2,77,65,80.1270980834961
11/15/2016 8:51:00 PM,0,49,47,0.398495346307755
2/2/2016 10:51:00 PM,224.65,43,37,211.691604614258
8/17/2016 3:51:00 AM,104.6,77,73,124.068344116211
9/18/2016 7:51:00 PM,-63.9,77,72,-66.7160873413086
